timestamp,height_px,height_cm,height_cm_smooth,method
20251117_140002,2,76,,,hsv,,1849,793,1869,869
20251117_140002,3,40,,,hsv,,99,791,128,831
20251117_140002,4,96,,,hsv,,224,720,288,816
20251117_140004,0,63,,,hsv,,939,986,991,1049
20251117_140004,1,116,,,hsv,,920,811,977,927
20251117_140004,2,266,,,hsv,,758,804,864,1070
20251117_140004,3,262,,,hsv,,574,633,663,895
20251117_140005,4,727,,,yolo,,354,99,867,826
20251117_140007,4,729,,,yolo,,607,127,1093,856
20251117_140009,4,750,,,yolo,,572,88,1069,838
20251117_140011,0,41,,,hsv,,1880,1039,1896,1080
20251117_140011,1,50,,,hsv,,8,1030,39,1080
20251117_140011,2,50,,,hsv,,1723,1017,1746,1067
20251117_140011,3,43,,,hsv,,98,1009,132,1052
20251117_140011,4,44,,,hsv,,1206,799,1237,843
20251117_140011,5,52,,,hsv,,869,776,896,828
20251117_140014,0,56,,,hsv,,1534,1024,1578,1080
20251117_140014,1,43,,,hsv,,1296,1023,1331,1066
20251117_140014,2,66,,,hsv,,208,947,249,1013
20251117_140014,3,34,,,hsv,,1023,944,1044,978
20251117_140014,4,34,,,hsv,,1253,943,1281,977
20251117_140014,5,34,,,hsv,,507,911,529,945
20251117_140014,6,81,,,hsv,,824,831,865,912
20251117_140014,7,51,,,hsv,,0,782,26,833
20251117_140016,0,39,,,hsv,,633,1041,657,1080
20251117_140016,1,40,,,hsv,,584,1040,616,1080
20251117_140016,2,41,,,hsv,,437,1039,461,1080
20251117_140016,3,73,,,hsv,,78,1007,123,1080
20251117_140016,4,33,,,hsv,,336,992,363,1025
20251117_140016,5,81,,,hsv,,648,991,683,1072
20251117_140016,6,34,,,hsv,,1464,927,1488,961
20251117_140016,7,65,,,hsv,,671,927,704,992
20251117_140016,8,38,,,hsv,,160,927,190,965
20251117_140016,9,145,,,hsv,,94,896,168,1041
20251117_140016,10,64,,,hsv,,1048,895,1083,959
20251117_140016,11,97,,,hsv,,792,880,872,977
20251117_140016,12,40,,,hsv,,1553,879,1585,919
20251117_140016,13,67,,,hsv,,335,863,368,930
20251117_140016,14,48,,,hsv,,612,848,641,896
20251117_140016,15,40,,,hsv,,1534,824,1553,864
